author,year,loc,spcd,common_name,sample_size,st_meand_bh,st_mind_bh,st_maxd_bh,lat,lon,prec,lat_lon_der,loc_desc,state
912 Hoosier,,German Ridge Blowdown,407,shagbark hickory,2,17.2,15.5,18.9,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,German Ridge Blowdown,409,mockemut hickory,1,10.1,10.1,10.1,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,German Ridge Blowdown,521,common persimmon,2,10.6,9.1,12,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,German Ridge Blowdown,531,American beech,1,15,15,15,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,German Ridge Blowdown,541,white ash,6,16,9.6,20.7,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,German Ridge Blowdown,552,honeylocust,1,12.5,12.5,12.5,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,German Ridge Blowdown,621,yellow-poplar,9,17.2,13.1,19.5,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,German Ridge Blowdown,731,American sycamore,1,23.6,23.6,23.6,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,German Ridge Blowdown,762,black cherry,1,15.1,15.1,15.1,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,German Ridge Blowdown,802,white oak,6,20.6,17.5,23.2,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,German Ridge Blowdown,833,northern red oak,3,22.3,20.5,23.8,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,German Ridge Blowdown,837,black oak,7,22.2,15.5,27,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,Goosetown Ridge Blowdown,129,eastern white pine,5,13.8,7.5,17.4,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,Goosetown Ridge Blowdown,318,sugar maple,11,12.9,7.2,23.2,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,Goosetown Ridge Blowdown,407,shagbark hickory,1,10.5,10.5,10.5,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,Goosetown Ridge Blowdown,409,mockemut hickory,2,18.1,17.4,18.9,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,Goosetown Ridge Blowdown,531,American beech,4,22,13.5,29.5,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,Goosetown Ridge Blowdown,541,white ash,5,18.8,7.4,25.1,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,Goosetown Ridge Blowdown,544,green ash,1,12.6,12.6,12.6,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,Goosetown Ridge Blowdown,621,yellow-poplar,7,14.2,8.8,19.5,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,Goosetown Ridge Blowdown,762,black cherry,3,13.7,11.3,17.3,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,Goosetown Ridge Blowdown,802,white oak,5,20.7,18.1,25.4,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,Goosetown Ridge Blowdown,832,chestnut oak,5,21.5,17.4,26,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,Goosetown Ridge Blowdown,833,northern red oak,11,18.6,11.9,26.8,38.4,-86.6,,,Hoosier National Forest,Indiana
912 Hoosier,,Goosetown Ridge Blowdown,931,sassafras,1,7.9,7.9,7.9,38.4,-86.6,,,Hoosier National Forest,Indiana
919 Allegheny,,Bradford Watershed Blowdown,316,red maple,2,24,23.2,24.8,41.7,-79,,,Allegheny National Forest,Pennsylvania
919 Allegheny,,Bradford Watershed Blowdown,318,sugar maple,7,10.8,7.9,13.3,41.7,-79,,,Allegheny National Forest,Pennsylvania
919 Allegheny,,Bradford Watershed Blowdown,762,black cherry,5,25.5,19.6,37,41.7,-79,,,Allegheny National Forest,Pennsylvania
919 Allegheny,,Bradford Watershed Blowdown,951,American basswood,2,8.9,7,10.9,41.7,-79,,,Allegheny National Forest,Pennsylvania
919 Allegheny,,Bradford Watershed Blowdown Private,316,red maple,6,14.7,10.6,17.8,41.7,-79,,,Allegheny National Forest,Pennsylvania
919 Allegheny,,Bradford Watershed Blowdown Private,318,sugar maple,6,12.4,9.6,15.2,41.7,-79,,,Allegheny National Forest,Pennsylvania
919 Allegheny,,Bradford Watershed Blowdown Private,371,yellow birch,2,11.9,8.4,15.4,41.7,-79,,,Allegheny National Forest,Pennsylvania
919 Allegheny,,Bradford Watershed Blowdown Private,531,American beech,1,6.8,6.8,6.8,41.7,-79,,,Allegheny National Forest,Pennsylvania
919 Allegheny,,Bradford Watershed Blowdown Private,762,black cherry,22,16.9,12.2,25.4,41.7,-79,,,Allegheny National Forest,Pennsylvania
920 Green Mountain,,North Half OSR,97,red spruce,1,6.3,6.3,6.3,43.1,-73,,,Green Mountain National Forest,Vermont
920 Green Mountain,,North Half OSR,316,red maple,3,11.8,7.5,15.9,43.1,-73,,,Green Mountain National Forest,Vermont
920 Green Mountain,,North Half OSR,318,sugar maple,23,15.5,9.8,21.9,43.1,-73,,,Green Mountain National Forest,Vermont
920 Green Mountain,,North Half OSR,371,yellow birch,7,15.3,13,18.4,43.1,-73,,,Green Mountain National Forest,Vermont
920 Green Mountain,,North Half OSR,375,paper birch,1,13.6,13.6,13.6,43.1,-73,,,Green Mountain National Forest,Vermont
920 Green Mountain,,North Half OSR,531,American beech,4,12.7,9.5,16.1,43.1,-73,,,Green Mountain National Forest,Vermont
920 Green Mountain,,North Half OSR,833,northern red oak,13,17.6,14.1,21.6,43.1,-73,,,Green Mountain National Forest,Vermont
921 Monongahela,,Elk Fly,318,sugar maple,1,10,10,10,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,Elk Fly,651,cucumbertree,1,17.3,17.3,17.3,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,Elk Fly,832,chestnut oak,1,14.2,14.2,14.2,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,Elk Fly,833,northern red oak,7,22.1,15.1,27.7,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,Fernow Experimental Forest,316,red maple,1,10.6,10.6,10.6,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,Fernow Experimental Forest,318,sugar maple,6,13.3,11.8,15.5,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,Fernow Experimental Forest,402,bittemut hickory,3,13.1,11.6,14.1,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,Fernow Experimental Forest,403,pignut hickory,1,11.3,11.3,11.3,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,Fernow Experimental Forest,531,American beech,1,6.6,6.6,6.6,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,Fernow Experimental Forest,651,cucumbertree,1,11.5,11.5,11.5,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,Fernow Experimental Forest,762,black cherry,1,20.1,20.1,20.1,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,Fernow Experimental Forest,833,northern red oak,1,28.1,28.1,28.1,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,Fernow Experimental Forest,951,American basswood,5,15.3,6.7,19.5,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,Fernow Experimental Forest,975,slippery elm,1,12.3,12.3,12.3,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,Hunting Ground,316,red maple,1,8.3,8.3,8.3,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,Hunting Ground,318,sugar maple,2,11.3,9.1,13.5,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,Hunting Ground,802,white oak,2,15.4,14.7,16.2,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,Hunting Ground,832,chestnut oak,1,10.3,10.3,10.3,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,Hunting Ground,833,northern red oak,1,10.7,10.7,10.7,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,New Pheasant,316,red maple,2,8.1,7.6,8.5,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,New Pheasant,372,sweet birch,1,8.2,8.2,8.2,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,New Pheasant,802,white oak,2,11.2,9.2,13.1,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,New Pheasant,806,scarlet oak,4,18.2,15,23.3,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,New Pheasant,832,chestnut oak,4,11.9,9.3,16.2,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,North Gauley,621,yellow-poplar,8,18.7,15.6,22.8,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,North Gauley,762,black cherry,4,17,14.6,22.5,38.6,-79.9,,,Monongahela National Forest,West virginia
921 Monongahela,,North Gauley,951,American basswood,3,16.1,14.7,17.8,38.6,-79.9,,,Monongahela National Forest,West virginia
922 White Mountain,,Iron Maple II,129,eastern white pine,1,23.3,23.3,23.3,44.2,-71.3,,,White Mountain National Forest,New hampshire
922 White Mountain,,Iron Maple II,316,red maple,8,10.5,7.5,14.3,44.2,-71.3,,,White Mountain National Forest,New hampshire
922 White Mountain,,Iron Maple II,318,sugar maple,1,13.4,13.4,13.4,44.2,-71.3,,,White Mountain National Forest,New hampshire
922 White Mountain,,Iron Maple II,371,yellow birch,2,9.7,8.8,10.6,44.2,-71.3,,,White Mountain National Forest,New hampshire
922 White Mountain,,Iron Maple II,375,paper birch,7,9.1,7.6,11.1,44.2,-71.3,,,White Mountain National Forest,New hampshire
922 White Mountain,,Iron Maple II,531,American beech,6,11.2,7,16.3,44.2,-71.3,,,White Mountain National Forest,New hampshire
922 White Mountain,,Iron Maple II,541,white ash,1,5.5,5.5,5.5,44.2,-71.3,,,White Mountain National Forest,New hampshire
922 White Mountain,,Iron Maple II,833,northern red oak,3,8.4,7.5,10,44.2,-71.3,,,White Mountain National Forest,New hampshire
922 White Mountain,,Kearsarge II,12,balsam fir,1,11.9,11.9,11.9,44.2,-71.3,,,White Mountain National Forest,New hampshire
922 White Mountain,,Kearsarge II,261,eastern hemlock,1,8.8,8.8,8.8,44.2,-71.3,,,White Mountain National Forest,New hampshire
