author,loc,spcd,treeno,branch_id,status,ht,ob_d,len,lenh,lenv,lenmeth,wdbk_gw_sub,wd_gw_sub,bk_gw_sub,wdbk_dw_sub,wd_dw_sub,bk_dw_sub,ind_sub,wdbk_mc_sub,wd_mc_sub,bk_mc_sub,fol_gw_sub,fol_dw_sub,fol_mc_sub,wdbkf_gw,wdbk_gw,wd_gw,bk_gw,fol_gw,wdbk_dw,wdbk_dw_1,wd_dw,bk_dw,fol_dw,cen
VT_COOP-IMP,1315,131,742,43,1,27.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1315,131,742,44,1,27.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1315,131,742,45,1,27.6,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1315,131,742,46,1,29.1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1315,131,742,47,1,30.7,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1315,131,742,48,1,30.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1315,131,742,49,1,31.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1315,131,742,50,1,31.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1315,131,742,51,1,32.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1315,131,742,52,1,32.1,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1315,131,742,53,1,32.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1315,131,742,54,1,33.4,1.05,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,1,,6.2,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,2,,7.3,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,3,,7.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,4,,9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,5,,9.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,6,,10,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,7,,10,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,8,,11.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,9,,11.9,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
