author,loc,spcd,treeno,section_id,ob_d_bot,ob_d_top,ib_d_bot,ib_d_top,len,ht,wdbk_gw,wd_gw,bk_gw,wdbk_dw,wd_dw,bk_dw,wdbk_cv,wd_cv,bk_cv,cen,wd_def1d_1,wd_def1d_2,wd_def1len,wd_def1cl,wd_def2cl,wd_def2d_1,wd_def2d_2,wd_def2len,wd_def3cl_1,wd_def3d_1,wd_def3d_2,wd_def3len,wdbk_d_kerf,wdbk_wid_kerf,wdbk_gw_kerf,wdbk_ar,wd_ar
Baldwin,1,131,104,17,4.7,2.9,4.4,2.7,5,74.5,29.2,25.82,3.38,12.87,11.7,1.17,0.42,0.36,0.05,1,,,,,,,,,,,,,,,,4.97,4.65
Baldwin,1,131,104,18,2.9,0,2.7,0,7.5,79.5,10.8,9.42,1.38,4.7,4.21,0.49,0.11,0.1,0.02,1,,,,,,,,,,,,,,,,2.85,2.65
Baldwin,1,131,105,1,21.8,19.5,20.1,17.9,2,0.5,206,193.93,12.07,123.09,115.02,8.06,4.67,3.95,0.71,1,,,,,,,,,,,,,,,,10.81,9.95
Baldwin,1,131,105,2,19.5,18.4,17.9,17.2,2,2.5,256.3,242.24,14.06,139.79,130.77,9.01,3.92,3.36,0.56,1,,,,,,,,,,,,,,,,9.92,9.19
Baldwin,1,131,105,3,18.4,17.7,17.2,16.6,5,4.5,507.4,484.35,23.05,273.56,259.14,14.43,8.89,7.79,1.1,1,,,,,,,,,,,,,,,,23.63,22.12
Baldwin,1,131,105,4,17.7,17.5,16.6,16.3,5,9.5,470.4,445.34,25.06,250.23,240.19,10.04,8.45,7.38,1.07,1,,,,,,,,,,,,,,,,23.04,21.53
Baldwin,1,131,105,5,17.5,16.6,16.3,15.6,5,14.5,449.2,425.39,23.81,253.81,242.77,11.03,7.93,6.94,0.99,1,,,,,,,,,,,,,,,,22.32,20.88
Baldwin,1,131,105,6,16.6,16.3,15.6,15.5,5,19.5,415.8,395.4,20.4,206.56,195.11,11.44,7.38,6.59,0.79,1,,,,,,,,,,,,,,,,21.53,20.35
Baldwin,1,131,105,7,16.3,15.7,15.5,14.7,5,24.5,420.2,394.68,25.52,206.3,192.77,13.53,6.98,6.22,0.76,1,,,,,,,,,,,,,,,,20.94,19.77
Baldwin,1,131,105,8,15.7,15.8,14.7,14.6,5,29.5,413.2,390.94,22.26,227.13,214.26,12.86,6.76,5.85,0.91,1,,,,,,,,,,,,,,,,20.62,19.18
Baldwin,1,131,105,9,15.8,14.4,14.6,13.6,5.5,34.5,375,350.16,24.84,179.32,166.06,13.27,6.85,5.97,0.88,1,,,,,,,,,,,,,,,,21.74,20.3
Baldwin,1,131,105,10,14.4,14.1,13.6,13.2,4.5,40,286.6,271.95,14.65,132.92,125.34,7.58,4.98,4.41,0.58,1,,,,,,,,,,,,,,,,16.79,15.79
Baldwin,1,131,105,11,14.1,13.3,13.2,12.6,5,44.5,340.2,321.81,18.39,155.57,146.07,9.51,5.12,4.54,0.58,1,,,,,,,,,,,,,,,,17.93,16.89
